SCORES		DEV		DEV1		SD1 
75              2.15           4.62250           0.14997
90              -12.85           165.12250           -0.89633
80              -2.85           8.12250           -0.19880
85              -7.85           61.62250           -0.54756
76              1.15           1.32250           0.08022
70              7.15           51.12250           0.49874
68              9.15           83.72250           0.63824
84              -6.85           46.92250           -0.47781
92              -14.85           220.52250           -1.03584
80              -2.85           8.12250           -0.19880
50              27.15           737.12250           1.89380
60              17.15           294.12250           1.19627
73              4.15           17.22250           0.28948
89              -11.85           140.42250           -0.82658
100              -22.85           522.12250           -1.59386
40              37.15           1380.12250           2.59134
75              2.15           4.62250           0.14997
76              1.15           1.32250           0.08022
94              -16.85           283.92250           -1.17534
86              -8.85           78.32250           -0.61732



Sum=1543		Average =77.15			Standard Deviation   = 14.3362
sum of standard score = 0
